Крок	x1	x2	Phi(X)
195	-1.425000	-1.400000	7.128906e-04
196	-1.425000	-1.400000	7.128906e-04
197	-1.425000	-1.400000	7.128906e-04
198	-1.425000	-1.400000	7.128906e-04
199	-1.425000	-1.400000	7.128906e-04
200	-1.425000	-1.400000	7.128906e-04
201	-1.425000	-1.400000	7.128906e-04
202	-1.425000	-1.400000	7.128906e-04
203	-1.425000	-1.400000	7.128906e-04
204	-1.425000	-1.400000	7.128906e-04
205	-1.425000	-1.400000	7.128906e-04
206	-1.425000	-1.400000	7.128906e-04
207	-1.425000	-1.400000	7.128906e-04
208	-1.425000	-1.400000	7.128906e-04
209	-1.425000	-1.400000	7.128906e-04
210	-1.425000	-1.400000	7.128906e-04
211	-1.425000	-1.400000	7.128906e-04
212	-1.425000	-1.400000	7.128906e-04
213	-1.425000	-1.400000	7.128906e-04
214	-1.425000	-1.400000	7.128906e-04
215	-1.425000	-1.400000	7.128906e-04
216	-1.425000	-1.400000	7.128906e-04
217	-1.425000	-1.400000	7.128906e-04
218	-1.425000	-1.400000	7.128906e-04
219	-1.425000	-1.400000	7.128906e-04
220	-1.425000	-1.400000	7.128906e-04
221	-1.425000	-1.400000	7.128906e-04
222	-1.425000	-1.400000	7.128906e-04
223	-1.425000	-1.400000	7.128906e-04
224	-1.425000	-1.400000	7.128906e-04
225	-1.425000	-1.400000	7.128906e-04
226	-1.425000	-1.400000	7.128906e-04
227	-1.425000	-1.400000	7.128906e-04
228	-1.425000	-1.400000	7.128906e-04
229	-1.425000	-1.400000	7.128906e-04
230	-1.425000	-1.400000	7.128906e-04
231	-1.425000	-1.400000	7.128906e-04
232	-1.425000	-1.400000	7.128906e-04
233	-1.425000	-1.400000	7.128906e-04
234	-1.425000	-1.400000	7.128906e-04
235	-1.425000	-1.400000	7.128906e-04
236	-1.425000	-1.400000	7.128906e-04
237	-1.425000	-1.400000	7.128906e-04
238	-1.425000	-1.400000	7.128906e-04
239	-1.425000	-1.400000	7.128906e-04
240	-1.425000	-1.400000	7.128906e-04
241	-1.425000	-1.400000	7.128906e-04
242	-1.425000	-1.400000	7.128906e-04
243	-1.425000	-1.400000	7.128906e-04
244	-1.425000	-1.400000	7.128906e-04
245	-1.425000	-1.400000	7.128906e-04
246	-1.425000	-1.400000	7.128906e-04
